500,1,168,450,65,37,1
500,2,213,733,4,80,1
500,3,255,545,35,64,1
500,4,323,206,78,61,1
500,5,450,762,42,51,1
500,6,549,741,30,73,1
500,7,539,473,10,87,1
500,8,573,460,50,17,1
500,9,587,687,18,32,1
500,10,629,244,77,39,1
500,11,670,690,71,46,1
500,12,663,170,5,62,1
500,13,670,709,74,49,1
500,14,708,486,8,93,1
500,15,774,249,48,4,1
500,16,806,323,86,16,1
500,17,823,378,84,39,1
500,18,813,866,86,49,1
500,19,883,259,67,33,1
500,20,911,251,90,23,1
500,21,915,301,33,11,1
500,22,933,228,26,2,1
500,23,955,238,38,68,1
500,24,1078,159,32,71,1
500,25,1172,228,10,93,1
501,1,165,438,64,55,1
501,2,209,732,8,83,1
501,3,263,549,45,62,1
501,4,321,206,82,58,1
501,5,456,763,32,51,1
501,6,559,741,27,74,1
501,7,539,472,2,86,1
501,8,569,470,52,5,1
501,9,591,689,18,36,1
501,10,618,247,85,27,1
501,11,671,708,76,49,1
501,12,660,171,10,66,1
501,13,678,688,72,48,1
501,14,700,485,17,96,1
501,15,772,250,55,9,1
501,16,797,315,84,32,1
501,17,824,379,88,40,1
501,18,812,864,85,52,1
501,19,877,258,70,40,1
501,20,907,244,83,43,1
501,21,925,301,26,17,1
501,22,935,225,18,13,1
501,23,955,238,31,74,1
501,24,1083,164,13,72,1
501,25,1170,228,19,93,1
502,1,169,431,56,65,1
502,2,207,732,11,84,1
502,3,271,554,54,60,1
502,4,321,208,83,52,1
502,5,464,765,21,49,1
502,6,570,740,23,72,1
502,7,532,473,12,83,1
502,8,568,473,50,5,1
502,9,598,689,15,37,1
502,10,608,251,91,9,1
502,11,673,708,77,47,1
502,12,659,176,15,63,1
502,13,685,685,72,49,1
502,14,691,484,27,96,1
502,15,772,251,59,12,1
502,16,791,308,79,43,1
502,17,826,380,87,39,1
502,18,812,863,81,53,1
502,19,873,257,72,44,1
502,20,905,239,73,57,1
502,21,939,300,13,22,1
502,22,941,223,3,20,1
502,23,956,239,23,76,1
502,24,1083,166,3,70,1
502,25,1170,228,26,92,1
503,1,175,426,40,70,1
503,2,204,732,15,83,1
503,3,280,559,63,56,1
503,4,322,210,82,44,1
503,5,475,767,6,44,1
503,6,579,741,21,68,1
503,7,523,472,25,79,1
503,8,568,468,46,19,1
503,9,603,689,14,40,1
503,10,603,249,89,5,1
503,11,676,708,78,44,1
503,12,658,177,22,64,1
503,13,694,684,71,48,1
503,14,684,484,36,94,1
503,15,773,252,62,15,1
503,16,786,301,70,55,1
503,17,829,383,87,36,1
503,18,812,862,77,54,1
503,19,868,257,74,47,1
503,20,905,235,57,68,1
503,21,952,299,2,25,1
503,22,939,222,8,25,1
503,23,960,240,12,76,1
503,24,1070,160,24,71,1
503,25,1172,227,24,93,1
504,1,180,421,28,72,1
504,2,203,731,16,85,1
504,3,289,565,71,52,1
504,4,322,213,81,36,1
504,5,476,768,6,41,1
504,6,591,742,17,64,1
504,7,515,473,35,73,1
504,8,567,465,42,29,1
504,9,608,691,13,40,1
504,10,600,236,84,23,1
504,11,677,707,79,43,1
504,12,657,181,25,62,1
504,13,706,682,68,47,1
504,14,678,485,43,91,1
504,15,774,254,64,17,1
504,16,783,295,61,66,1
504,17,832,385,86,35,1
504,18,812,862,73,53,1
504,19,863,260,76,48,1
504,20,907,232,40,76,1
504,21,952,300,17,27,1
504,22,933,221,19,28,1
504,23,964,242,1,76,1
504,24,1057,155,44,70,1
504,25,1181,224,1,95,1
505,1,185,416,17,79,1
505,2,200,732,20,84,1
505,3,298,571,79,47,1
505,4,324,216,77,27,1
505,5,472,771,19,36,1
505,6,602,741,12,61,1
505,7,509,476,44,66,1
505,8,567,461,38,41,1
505,9,614,693,12,42,1
505,10,592,225,81,37,1
505,11,680,708,80,39,1
505,12,656,184,30,61,1
505,13,711,680,70,48,1
505,14,670,486,52,87,1
505,15,774,255,67,20,1
505,16,781,292,48,73,1
505,17,835,386,88,35,1
505,18,812,861,69,53,1
505,19,858,259,78,53,1
505,20,910,232,20,81,1
